model,validation_mae,validation_rmse,validation_mape,validation_direction_accuracy,test_mae,test_rmse,test_mape,test_direction_accuracy
linear,18.852927706675587,20.541399312547636,7.0015878042888975,0.4482758620689655,4.136998080547634,5.669808923299548,1.5134634100333972,0.6206896551724138
naive,18.356999000000005,19.910326173790413,6.8195227924801065,0.0,4.81566933333333,6.378528389331923,1.7756068079106468,0.0
random_forest,30.371259071666593,33.10395385952162,11.282105205788977,0.5517241379310345,5.646456769999664,7.007988763008744,2.050127177691319,0.4827586206896552
drift,17.606039539062508,19.084355033524556,6.540930506801161,0.5862068965517241,5.328996958582237,7.012140058636482,1.968337148234803,0.41379310344827586
moving_average,14.826725865958789,16.18838589575729,5.505764808765467,0.6206896551724138,6.5072042016972125,7.6981736736378545,2.358703192872825,0.41379310344827586
seasonal_naive,14.176668000000005,15.448922028200114,5.292492240590897,0.3448275862068966,7.284668999999995,8.576246195556068,2.6462743612212005,0.5862068965517241
